hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
15/5/2025-11:58:17::2::22::220,0.26142207,0.036220316,0.7250222,0.012376012,616.1718,78.77919,4941.7515,28.044044,,TONO BASAL INICIAL
15/5/2025-11:58:17::2::26::261,0.25965056,0.029687809,0.58944666,0.0100293765,611.9964,64.570984,4017.6685,22.726566,,TONO BASAL INICIAL
15/5/2025-11:58:17::3::30::302,0.26188526,0.028702028,0.5009877,0.008934664,617.26355,62.42691,3414.7324,20.245949,,TONO BASAL INICIAL
15/5/2025-11:58:17::3::33::339,0.261052,0.029818807,0.87367636,0.008921207,615.2996,64.8559,5954.978,20.215454,,TONO BASAL INICIAL
15/5/2025-11:58:17::4::41::414,0.26079905,0.027749516,0.83185065,0.008617254,614.70337,60.355198,5669.894,19.526697,,TONO BASAL INICIAL
15/5/2025-11:58:17::4::41::414,0.26115632,0.027749516,0.83185065,0.008617254,615.5455,60.355198,5669.894,19.526697,,TONO BASAL INICIAL
15/5/2025-11:58:17::4::49::492,0.25386357,0.035257574,0.6617642,0.008094001,598.35645,76.68523,4510.585,18.341005,,TONO BASAL INICIAL
15/5/2025-11:58:17::5::52::528,0.26266465,0.031661753,0.4849447,0.008182255,619.1006,68.86431,3305.383,18.540989,,TONO BASAL INICIAL
15/5/2025-11:58:17::5::52::528,0.26297852,0.02421296,0.5156639,0.014786102,619.8404,52.66319,3514.7654,33.505306,,TONO BASAL INICIAL
15/5/2025-11:58:17::6::61::617,0.2652079,0.026383106,0.3399588,0.025722953,625.095,57.383255,2317.1592,58.28821,,TONO BASAL INICIAL
15/5/2025-11:58:17::6::61::617,0.26672906,0.034343895,0.43294796,0.029807327,628.6804,74.69797,2950.9734,67.5434,,TONO BASAL INICIAL
15/5/2025-11:58:17::6::69::690,0.2629112,0.03195264,0.36817965,0.027520413,619.6817,69.49699,2509.5125,62.361256,,TONO BASAL INICIAL
15/5/2025-11:58:17::6::69::690,0.2629112,0.03195264,0.36817965,0.027520413,619.6817,69.49699,2509.5125,62.361256,,TONO BASAL INICIAL
15/5/2025-11:58:17::7::72::724,0.26558644,0.03378111,0.4604396,0.023774805,625.98724,73.473915,3138.3562,53.873707,,TONO BASAL INICIAL
15/5/2025-11:58:17::7::76::762,0.2699302,0.03431531,0.5460713,0.019913403,636.2255,74.6358,3722.0217,45.12377,,TONO BASAL INICIAL
15/5/2025-11:58:17::7::79::798,0.26712227,0.032344565,0.35308614,0.017351616,629.6072,70.34943,2406.6353,39.318764,,TONO BASAL INICIAL
15/5/2025-11:58:17::8::83::837,0.2669106,0.034796003,0.5030862,0.015305759,629.10834,75.681305,3429.0354,34.68285,,TONO BASAL INICIAL
15/5/2025-11:58:17::8::87::879,0.290031,0.028482718,0.42886633,0.014061008,683.603,61.949913,2923.1528,31.862244,,TONO BASAL INICIAL
15/5/2025-11:58:18::9::91::916,0.2383594,0.03355994,0.31876197,0.01317913,561.8131,72.992874,2172.6816,29.863909,,TONO BASAL INICIAL
15/5/2025-11:58:18::9::95::955,0.18679404,0.029690824,0.37003505,0.012730137,440.27356,64.577545,2522.159,28.84649,,TONO BASAL INICIAL
15/5/2025-11:58:18::9::99::991,0.22117902,0.024132121,0.43288296,0.016527388,521.319,52.487366,2950.5303,37.45106,,TONO BASAL INICIAL
15/5/2025-11:58:18::0::2::26,0.24575566,0.031187734,0.3971774,0.016527388,579.2461,67.83332,2707.1611,37.45106,,TONO BASAL INICIAL
15/5/2025-11:58:18::0::6::62,0.25042853,0.036441557,0.34333786,0.0158547,590.2601,79.26038,2340.191,35.92675,,TONO BASAL INICIAL
15/5/2025-11:58:18::1::10::104,0.25915733,0.03048034,0.45914218,0.023090227,610.8338,66.29474,3129.5132,52.322453,,TONO BASAL INICIAL
15/5/2025-11:58:18::1::13::139,0.26215363,0.020424312,0.41893592,0.021968724,617.8961,44.42288,2855.4673,49.781128,,TONO BASAL INICIAL
15/5/2025-11:58:18::1::17::174,0.27109432,0.025545549,0.39734638,0.021746093,638.9693,55.56157,2708.313,49.276646,,TONO BASAL INICIAL
15/5/2025-11:58:18::2::24::249,0.26950723,0.02567922,0.3886549,0.01905745,635.2285,55.852303,2649.0718,43.184185,,TONO BASAL INICIAL
15/5/2025-11:58:18::2::29::291,0.26309466,0.02153618,0.3822995,0.019531157,620.11414,46.841194,2605.7534,44.257603,,TONO BASAL INICIAL
15/5/2025-11:58:18::2::29::291,0.27127916,0.029015403,0.41736513,0.018067842,639.40497,63.1085,2844.7607,40.94173,,TONO BASAL INICIAL
15/5/2025-11:58:18::4::40::405,0.27000284,0.024891248,0.30566978,0.01732073,636.3967,54.138466,2083.4453,39.248775,,TONO BASAL INICIAL
15/5/2025-11:58:18::4::40::405,0.27653837,0.02931941,0.4361281,0.0218943,651.80096,63.769714,2972.6492,49.612484,,TONO BASAL INICIAL
