hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
15/5/2025-12:42:54::2::21::219,0.025875688,0.0015854983,0.5129344,0.0028392458,232.8812,14.269485,4616.4097,25.553213,,TONO BASAL INICIAL
15/5/2025-12:42:54::2::24::248,0.029561486,0.00182245,0.41542277,0.0034450968,266.05338,16.40205,3738.805,31.00587,,TONO BASAL INICIAL
15/5/2025-12:42:54::3::31::311,0.03081406,0.00182245,0.41542277,0.0034450968,277.32654,16.40205,3738.805,31.00587,,TONO BASAL INICIAL
15/5/2025-12:42:54::3::31::311,0.03081406,0.0021004626,0.52765095,0.0034117568,277.32654,18.904163,4748.8584,30.705812,,TONO BASAL INICIAL
15/5/2025-12:42:54::3::34::340,0.029781416,0.0017876364,0.4935976,0.0033026165,268.03275,16.088728,4442.3784,29.723549,,TONO BASAL INICIAL
15/5/2025-12:42:54::3::37::372,0.032827914,0.0014335949,0.43701732,0.0025888302,295.45123,12.902353,3933.1558,23.29947,,TONO BASAL INICIAL
15/5/2025-12:42:55::4::43::433,0.032138184,0.0015422587,0.39172018,0.002421804,289.24365,13.880328,3525.4817,21.796236,,TONO BASAL INICIAL
15/5/2025-12:42:55::4::43::433,0.032138184,0.0015422587,0.39172018,0.002421804,289.24365,13.880328,3525.4817,21.796236,,TONO BASAL INICIAL
15/5/2025-12:42:55::4::46::462,0.029818332,0.0014819717,0.4341145,0.00215186,268.365,13.337746,3907.0303,19.36674,,TONO BASAL INICIAL
15/5/2025-12:42:55::4::46::462,0.029818332,0.0014819717,0.4341145,0.00215186,268.365,13.337746,3907.0303,19.36674,,TONO BASAL INICIAL
15/5/2025-12:42:55::5::51::518,0.032224435,0.001489473,0.5106448,0.001959004,290.01993,13.405257,4595.803,17.631035,,TONO BASAL INICIAL
15/5/2025-12:42:55::5::54::547,0.035160687,0.0015132711,0.46269286,0.0020906206,316.44617,13.61944,4164.236,18.815584,,TONO BASAL INICIAL
15/5/2025-12:42:55::5::58::580,0.03357507,0.0015381994,0.5235976,0.0018020836,302.17563,13.843794,4712.3784,16.218752,,TONO BASAL INICIAL
15/5/2025-12:42:55::6::60::608,0.033248775,0.0014131231,0.6367354,0.0015650137,299.23898,12.718108,5730.618,14.085123,,TONO BASAL INICIAL
15/5/2025-12:42:55::6::60::608,0.033248775,0.0014131231,0.6367354,0.0015650137,299.23898,12.718108,5730.618,14.085123,,TONO BASAL INICIAL
15/5/2025-12:42:55::6::66::664,0.031968966,0.0014668244,0.4424874,0.0016442472,287.7207,13.20142,3982.3865,14.798225,,TONO BASAL INICIAL
15/5/2025-12:42:55::6::69::693,0.030463565,0.0014529572,0.5280227,0.0016111333,274.1721,13.076614,4752.204,14.5002,,TONO BASAL INICIAL
15/5/2025-12:42:55::7::75::753,0.031321134,0.0014313047,0.46667573,0.0022604468,281.8902,12.8817425,4200.0815,20.34402,,TONO BASAL INICIAL
15/5/2025-12:42:55::7::75::753,0.031321134,0.0014313047,0.46667573,0.0022604468,281.8902,12.8817425,4200.0815,20.34402,,TONO BASAL INICIAL
15/5/2025-12:42:55::7::78::783,0.028828014,0.0014449469,0.52376974,0.0018036761,259.45212,13.004521,4713.9277,16.233086,,TONO BASAL INICIAL
15/5/2025-12:42:55::8::81::812,0.031080956,0.0013981274,0.4805378,0.0015549271,279.7286,12.583147,4324.8403,13.994344,,TONO BASAL INICIAL
15/5/2025-12:42:55::8::81::812,0.031080956,0.0013981274,0.4805378,0.0015549271,279.7286,12.583147,4324.8403,13.994344,,TONO BASAL INICIAL
15/5/2025-12:42:55::8::86::867,0.030865071,0.0016353814,0.4098754,0.0017463849,277.78564,14.718432,3688.8787,15.717464,,TONO BASAL INICIAL
15/5/2025-12:42:55::9::92::923,0.019650253,0.0027617777,0.33961225,0.0022029118,176.85228,24.855999,3056.5103,19.826206,,TONO BASAL INICIAL
15/5/2025-12:42:55::9::92::923,0.019650253,0.0027617777,0.33961225,0.0022029118,176.85228,24.855999,3056.5103,19.826206,,TONO BASAL INICIAL
15/5/2025-12:42:55::9::95::952,0.021288613,0.0036811675,0.47316828,0.0029745973,191.59752,33.13051,4258.5146,26.771376,,TONO BASAL INICIAL
15/5/2025-12:42:55::9::97::979,0.020960966,0.0026795922,0.6658586,0.003252377,188.6487,24.116331,5992.7275,29.271393,,TONO BASAL INICIAL
15/5/2025-12:42:55::0::3::35,0.025257744,0.0019461159,0.58452046,0.0030935318,227.31969,17.515043,5260.684,27.841787,,TONO BASAL INICIAL
15/5/2025-12:42:55::0::3::35,0.025257744,0.0019461159,0.58452046,0.0030935318,227.31969,17.515043,5260.684,27.841787,,TONO BASAL INICIAL
15/5/2025-12:42:55::0::6::63,0.02769963,0.0018197155,0.7755302,0.0032655024,249.29668,16.37744,6979.772,29.38952,,TONO BASAL INICIAL
15/5/2025-12:42:55::0::9::96,0.029160244,0.001682378,0.612082,0.003594416,262.4422,15.141402,5508.7383,32.349743,,TONO BASAL INICIAL
15/5/2025-12:42:55::1::15::153,0.028387835,0.0015749423,0.66977316,0.0036518585,255.49051,14.17448,6027.9585,32.866726,,TONO BASAL INICIAL
15/5/2025-12:42:55::1::15::153,0.028387835,0.0015749423,0.66977316,0.0036518585,255.49051,14.17448,6027.9585,32.866726,,TONO BASAL INICIAL
15/5/2025-12:42:55::1::17::179,0.030989828,0.0017538512,0.6043711,0.003578031,278.90845,15.78466,5439.34,32.20228,,TONO BASAL INICIAL
15/5/2025-12:42:55::2::23::235,0.031199368,0.001591709,0.5740151,0.0026683523,280.7943,14.32538,5166.1357,24.015171,,TONO BASAL INICIAL
15/5/2025-12:42:55::2::23::235,0.031199368,0.001591709,0.5740151,0.0026683523,280.7943,14.32538,5166.1357,24.015171,,TONO BASAL INICIAL
15/5/2025-12:42:55::3::31::312,0.03234918,0.0014421678,0.5277946,0.0021579252,291.1426,12.97951,4750.1514,19.421326,,TONO BASAL INICIAL
15/5/2025-12:42:55::3::31::312,0.03234918,0.0014421678,0.5277946,0.0021579252,291.1426,12.97951,4750.1514,19.421326,,TONO BASAL INICIAL
15/5/2025-12:42:55::3::34::344,0.031791624,0.001736531,0.42177883,0.0019996418,286.1246,15.628779,3796.0095,17.996777,,TONO BASAL INICIAL
15/5/2025-12:42:55::3::37::372,0.02944509,0.0021782012,0.494365,0.0019540587,265.0058,19.603811,4449.285,17.586527,,TONO BASAL INICIAL
15/5/2025-12:42:55::3::37::372,0.02944509,0.0021782012,0.494365,0.0019540587,265.0058,19.603811,4449.285,17.586527,,TONO BASAL INICIAL
15/5/2025-12:42:56::4::42::427,0.03222071,0.0022116208,0.50973266,0.0018829047,289.9864,19.904587,4587.594,16.946142,,TONO BASAL INICIAL
15/5/2025-12:42:56::4::45::455,0.033222962,0.001596747,0.54892755,0.0019835727,299.00665,14.370723,4940.348,17.852154,,TONO BASAL INICIAL
15/5/2025-12:42:56::5::51::513,0.032966778,0.0019346387,0.46128657,0.001854949,296.701,17.411749,4151.579,16.694542,,TONO BASAL INICIAL
15/5/2025-12:42:56::5::51::513,0.032966778,0.0019346387,0.46128657,0.001854949,296.701,17.411749,4151.579,16.694542,,TONO BASAL INICIAL
15/5/2025-12:42:56::5::54::540,0.0314418,0.0018325521,0.43153775,0.0021219882,282.9762,16.49297,3883.8398,19.097895,,TONO BASAL INICIAL
15/5/2025-12:42:56::5::56::568,0.03138405,0.001738959,0.39688072,0.002242658,282.45645,15.650631,3571.9265,20.183922,,TONO BASAL INICIAL
15/5/2025-12:42:56::5::56::568,0.03138405,0.001738959,0.39688072,0.002242658,282.45645,15.650631,3571.9265,20.183922,,TONO BASAL INICIAL
