hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
6/10/2025-19:53:14::3::34::340,0.0013343822,0.05694327,1.0,0.5,12.009439,512.48944,156994.55,0.0,,
6/10/2025-19:53:14::3::34::340,0.0013343822,0.05694327,1.0,0.5,12.009439,512.48944,156994.55,0.0,,
6/10/2025-19:53:14::4::41::415,0.0012013993,0.05115938,1.0,0.5,10.812593,460.43442,161130.45,0.0,,
6/10/2025-19:53:14::4::44::440,0.0011095881,0.0652299,1.0,0.5,9.986293,587.0691,160082.67,0.0,,
6/10/2025-19:53:14::4::46::466,0.0011335396,0.0652299,1.0,0.5,10.201857,587.0691,160082.67,0.0,,
6/10/2025-19:53:14::4::49::490,0.0011335396,0.07574061,1.0,0.5,10.201857,681.6655,157834.58,0.0,,
6/10/2025-19:53:14::5::54::540,0.0011582761,0.07574061,1.0,0.5,10.424485,681.6655,157834.58,0.0,,
6/10/2025-19:53:14::5::54::540,0.0011582761,0.06395595,1.0,0.5,10.424485,575.6035,160294.02,0.0,,
6/10/2025-19:53:14::5::56::567,0.00106912,0.044376507,1.0,0.5,9.62208,399.38858,162125.88,0.0,,
6/10/2025-19:53:14::5::59::593,0.0011760914,0.06577303,1.0,0.5,10.584823,591.9573,166408.97,0.0,,
6/10/2025-19:53:14::5::59::593,0.0011760914,0.06577303,1.0,0.5,10.584823,591.9573,166408.97,0.0,,
6/10/2025-19:53:14::6::64::642,0.0010904872,0.05958868,1.0,0.5,9.814385,536.2981,161646.64,0.0,,
6/10/2025-19:53:14::6::66::668,0.001003599,0.056274615,1.0,0.5,9.032392,506.47153,161242.1,0.0,,
6/10/2025-19:53:14::7::71::718,0.0010075351,0.060476683,1.0,0.5,9.067817,544.29016,161242.1,0.0,,
6/10/2025-19:53:14::7::71::718,0.0010075351,0.060476683,1.0,0.5,9.067817,544.29016,161442.22,0.0,,
6/10/2025-19:53:14::7::74::743,0.00111531,0.06029054,1.0,0.5,10.03779,542.61487,160678.45,0.0,,
6/10/2025-19:53:14::7::79::797,0.0011235247,0.06029054,1.0,0.5,10.111723,542.61487,160678.45,0.0,,
6/10/2025-19:53:14::7::79::797,0.0011235247,0.06029054,1.0,0.5,10.111723,542.61487,160678.45,0.0,,
6/10/2025-19:53:14::8::84::840,0.0011235247,0.06887044,1.0,0.5,10.111723,619.834,165255.9,0.0,,
6/10/2025-19:53:14::8::86::866,0.001385462,0.040226314,1.0,0.5,12.469158,362.03683,161798.81,0.0,,
6/10/2025-19:53:14::8::86::866,0.001385462,0.040226314,1.0,0.5,12.469158,362.03683,161798.81,0.0,,
6/10/2025-19:53:14::9::91::917,0.0014244508,0.06816324,1.0,0.5,12.820057,613.4691,161389.8,0.0,,
6/10/2025-19:53:14::9::94::944,0.0012842176,0.057879515,1.0,0.5,11.557959,520.91565,160734.97,0.0,,
6/10/2025-19:53:14::9::94::944,0.0012842176,0.057879515,1.0,0.5,11.557959,520.91565,160734.97,0.0,,
6/10/2025-19:53:14::9::99::995,0.0014390217,0.047543366,1.0,0.5,12.951195,427.8903,163327.62,0.0,,
6/10/2025-19:53:14::0::2::22,0.0012318592,0.0447805,1.0,0.5,11.086733,403.0245,162671.19,0.0,,
6/10/2025-19:53:14::0::2::22,0.0012318592,0.0447805,1.0,0.5,11.086733,403.0245,162671.19,0.0,,
6/10/2025-19:53:14::0::7::73,0.0011668999,0.0614528,1.0,0.5,10.502099,553.0752,161688.9,0.0,,
6/10/2025-19:53:14::0::7::73,0.0011668999,0.0614528,1.0,0.5,10.502099,553.0752,161688.9,0.0,,
6/10/2025-19:53:14::0::7::73,0.0011668999,0.0614528,1.0,0.5,10.502099,553.0752,161688.9,0.0,,
6/10/2025-19:53:14::0::7::73,0.0011668999,0.0614528,1.0,0.5,10.502099,553.0752,161688.9,0.0,,
6/10/2025-19:53:15::1::17::177,0.0010790214,0.043715455,1.0,0.5,9.711192,393.4391,161756.66,0.0,,
6/10/2025-19:53:15::1::17::177,0.0010790214,0.043715455,1.0,0.5,9.711192,393.4391,161756.66,0.0,,
6/10/2025-19:53:15::1::17::177,0.0010790214,0.043715455,1.0,0.5,9.711192,393.4391,161756.66,0.0,,
6/10/2025-19:53:15::2::25::256,0.0012074383,0.04152434,1.0,0.5,10.866944,373.71906,164050.16,0.0,,
