hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
21/2/2026-11:45:26::7::72::726,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::7::75::751,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::7::77::776,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::8::80::801,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::8::85::851,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::8::85::851,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::8::87::877,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::8::87::877,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::9::92::927,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::9::95::951,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::9::95::951,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::0::0::3,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::0::5::51,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::0::5::51,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::0::8::81,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::0::8::81,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::1::12::127,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::1::15::151,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::20::209,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::20::209,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::25::251,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::25::251,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::27::276,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::2::27::276,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::3::32::327,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::3::35::351,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::3::37::378,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::3::37::378,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::3::37::378,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::4::45::454,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::4::48::480,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::4::48::480,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:26::5::52::527,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::5::55::553,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::5::55::553,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::6::60::601,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::6::62::629,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::6::62::629,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::6::67::676,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::6::67::676,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::7::72::728,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::7::75::752,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::7::75::752,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::8::80::803,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::8::82::827,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::8::82::827,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::8::87::878,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::9::90::901,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::9::92::928,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::9::95::953,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::9::95::953,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::0::0::2,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::0::2::26,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::0::7::79,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::1::10::106,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::1::10::106,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::1::15::156,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::1::15::156,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::2::20::206,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::2::23::232,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::2::23::232,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::2::28::282,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::3::30::308,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::3::30::308,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::3::35::357,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::3::38::387,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::4::40::409,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::4::43::430,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::4::48::480,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::5::50::507,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:27::5::50::507,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::5::55::556,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::6::60::608,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::6::60::608,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::6::63::637,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::6::63::637,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::6::68::685,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
21/2/2026-11:45:28::7::70::709,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
