hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,,
