hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
21/2/2026-13:22:14::5::53::534,0.0025493978,0.0040316116,0.0061032,0.5,22.94458,36.284504,54.9288,0.0,,
21/2/2026-13:22:14::5::53::534,0.0025493978,0.0040316116,0.0061032,0.5,22.94458,36.284504,54.9288,0.0,,
21/2/2026-13:22:14::5::56::560,0.0028969443,0.0036562467,0.005218192,0.5,26.072498,32.90622,46.963726,0.0,,
21/2/2026-13:22:14::5::56::560,0.0028969443,0.0036562467,0.005218192,0.5,26.072498,32.90622,46.963726,0.0,,
21/2/2026-13:22:15::6::60::609,0.002973817,0.0041542207,0.0051881825,0.5,26.764353,37.387985,46.69364,0.0,,
21/2/2026-13:22:15::6::63::635,0.0026825431,0.0042422847,0.0068665706,0.5,24.142887,38.18056,61.799133,0.0,,
21/2/2026-13:22:15::6::63::635,0.0026825431,0.0042422847,0.0068665706,0.5,24.142887,38.18056,61.799133,0.0,,
21/2/2026-13:22:15::6::68::684,0.0030962836,0.003764354,0.008263984,0.5,27.866552,33.879185,74.375854,0.0,,
21/2/2026-13:22:15::6::68::684,0.0030962836,0.003764354,0.008263984,0.5,27.866552,33.879185,74.375854,0.0,,
21/2/2026-13:22:15::7::73::735,0.0032172485,0.0032280432,0.007122461,0.5,28.955236,29.05239,64.10215,0.0,,
21/2/2026-13:22:15::7::76::760,0.0036175253,0.0043022824,0.014768061,0.5,32.557728,38.72054,132.91255,0.0,,
21/2/2026-13:22:15::7::76::760,0.0036175253,0.0043022824,0.014768061,0.5,32.557728,38.72054,132.91255,0.0,,
21/2/2026-13:22:15::8::80::809,0.0034822011,0.0049466183,0.013829198,0.5,31.33981,44.519566,124.462776,0.0,,
21/2/2026-13:22:15::8::84::842,0.0037346764,0.0037785196,0.0099358875,0.5,33.612087,34.006676,89.42299,0.0,,
21/2/2026-13:22:15::8::84::842,0.0037346764,0.0037785196,0.0099358875,0.5,33.612087,34.006676,89.42299,0.0,,
21/2/2026-13:22:15::8::88::885,0.004060717,0.0036108335,0.00894336,0.5,36.54645,32.4975,80.49024,0.0,,
21/2/2026-13:22:15::9::93::937,0.0033559878,0.003142968,0.008491433,0.5,30.20389,28.286713,76.4229,0.0,,
21/2/2026-13:22:15::9::93::937,0.0033559878,0.003142968,0.008491433,0.5,30.20389,28.286713,76.4229,0.0,,
21/2/2026-13:22:15::9::96::960,0.0035339785,0.0032800913,0.009273787,0.5,31.805807,29.520823,83.46408,0.0,,
21/2/2026-13:22:15::9::96::960,0.0035339785,0.0032800913,0.009273787,0.5,31.805807,29.520823,83.46408,0.0,,
21/2/2026-13:22:15::0::1::13,0.0036233072,0.0028237887,0.00844906,0.5,32.609764,25.414099,76.04154,0.0,,
21/2/2026-13:22:15::0::3::35,0.0031791113,0.0030455766,0.008402566,0.5,28.612001,27.410189,75.6231,0.0,,
21/2/2026-13:22:15::0::3::35,0.0031791113,0.0030455766,0.008402566,0.5,28.612001,27.410189,75.6231,0.0,,
21/2/2026-13:22:15::0::8::86,0.003423517,0.003402217,0.008848882,0.5,30.811653,30.619953,79.63994,0.0,,
21/2/2026-13:22:15::1::10::109,0.0037062573,0.003402217,0.008848882,0.5,33.356316,30.619953,79.63994,0.0,,
21/2/2026-13:22:15::1::13::135,0.0037062573,0.0031718756,0.007209124,0.5,33.356316,28.54688,64.88212,0.0,,
