hora,v1,v2,v3,v4,v1 crudo,v2 crudo,v3 crudo,v4 crudo,tecnica,tipo de movimiento
21/2/2026-11:45:14::9::94::946,1.0,1.0,1.0,0.5,24269.123,46369.6,269250.06,0.0,,
21/2/2026-11:45:14::9::97::972,1.0,1.0,1.0,0.5,25592.303,45849.832,323422.4,0.0,,
21/2/2026-11:45:14::9::97::972,1.0,1.0,1.0,0.5,25592.303,45849.832,323422.4,0.0,,
21/2/2026-11:45:14::0::2::22,1.0,1.0,1.0,0.5,25851.61,51718.19,316567.12,0.0,,
21/2/2026-11:45:14::0::5::51,1.0,1.0,1.0,0.5,25049.158,57220.47,324561.78,0.0,,
21/2/2026-11:45:14::0::5::51,1.0,1.0,1.0,0.5,25049.158,57220.47,324561.78,0.0,,
21/2/2026-11:45:14::0::9::98,1.0,1.0,1.0,0.5,26022.363,55042.574,322331.28,0.0,,
21/2/2026-11:45:14::1::12::122,1.0,1.0,1.0,0.5,25267.11,49991.39,306806.56,0.0,,
21/2/2026-11:45:14::1::12::122,1.0,1.0,1.0,0.5,25267.11,49991.39,306806.56,0.0,,
21/2/2026-11:45:14::1::17::172,1.0,1.0,1.0,0.5,25965.904,47775.203,288122.25,0.0,,
21/2/2026-11:45:14::1::17::172,1.0,1.0,1.0,0.5,25965.904,47775.203,288122.25,0.0,,
21/2/2026-11:45:14::2::22::221,1.0,1.0,1.0,0.5,24829.303,45863.617,278324.78,0.0,,
21/2/2026-11:45:14::2::24::247,1.0,1.0,1.0,0.5,25338.293,45702.105,275886.66,0.0,,
21/2/2026-11:45:14::2::24::247,1.0,1.0,1.0,0.5,25338.293,45702.105,275886.66,0.0,,
21/2/2026-11:45:14::2::29::297,1.0,1.0,1.0,0.5,23438.13,45761.402,299429.03,0.0,,
21/2/2026-11:45:14::2::29::297,1.0,1.0,1.0,0.5,23438.13,45761.402,299429.03,0.0,,
21/2/2026-11:45:14::3::34::346,1.0,1.0,1.0,0.5,24833.564,50018.113,288255.78,0.0,,
21/2/2026-11:45:14::3::37::370,1.0,1.0,1.0,0.5,23675.986,57192.98,272147.6,0.0,,
21/2/2026-11:45:14::3::37::370,1.0,1.0,1.0,0.5,23675.986,57192.98,272147.6,0.0,,
21/2/2026-11:45:14::4::42::421,1.0,1.0,1.0,0.5,23390.88,53657.82,281072.16,0.0,,
21/2/2026-11:45:14::4::44::449,1.0,1.0,1.0,0.5,25374.184,54135.688,289776.5,0.0,,
21/2/2026-11:45:14::4::44::449,1.0,1.0,1.0,0.5,25374.184,54135.688,289776.5,0.0,,
21/2/2026-11:45:14::4::49::498,1.0,1.0,1.0,0.5,24687.346,60771.113,297801.28,0.0,,
21/2/2026-11:45:14::5::52::522,1.0,1.0,1.0,0.5,23610.562,60406.586,307143.72,0.0,,
21/2/2026-11:45:14::5::54::546,1.0,1.0,1.0,0.5,23610.562,60406.586,307143.72,0.0,,
21/2/2026-11:45:14::5::57::572,1.0,1.0,1.0,0.5,24706.363,57817.164,306782.94,0.0,,
21/2/2026-11:45:14::5::57::572,1.0,1.0,1.0,0.5,24706.363,57817.164,306782.94,0.0,,
21/2/2026-11:45:14::6::62::621,1.0,1.0,1.0,0.5,25665.893,56573.29,308702.25,0.0,,
21/2/2026-11:45:14::6::64::646,1.0,1.0,1.0,0.5,25775.85,56054.754,305854.03,0.0,,
